totalSupply,created_at
54,2021-08-29 09:39:20.034 UTC
54,2021-08-29 09:39:24.023 UTC
165,2021-08-29 09:39:45.347 UTC
131,2021-08-29 09:39:50.679 UTC
169,2021-08-29 09:39:51.351 UTC
74,2021-08-29 09:39:59.062 UTC
173,2021-08-29 09:40:48.996 UTC
158,2021-08-29 09:41:04.707 UTC
152,2021-08-29 09:41:06.689 UTC
64,2021-08-29 09:41:08.308 UTC
153,2021-08-29 09:41:08.547 UTC
39,2021-08-29 09:41:12.043 UTC
64,2021-08-29 09:41:15.211 UTC
64,2021-08-29 09:41:16.669 UTC
165,2021-08-29 09:41:37.202 UTC
38,2021-08-29 09:41:39.441 UTC
152,2021-08-29 09:41:49.465 UTC
153,2021-08-29 09:41:51.666 UTC
52,2021-08-29 09:41:52.747 UTC
49,2021-08-29 09:42:00.648 UTC
127,2021-08-29 09:42:19.828 UTC
145,2021-08-29 09:42:20.958 UTC
167,2021-08-29 09:42:22.380 UTC
147,2021-08-29 09:42:24.840 UTC
79,2021-08-29 09:42:35.366 UTC
149,2021-08-29 09:42:46.810 UTC
162,2021-08-29 09:42:48.865 UTC
162,2021-08-29 09:42:51.288 UTC
56,2021-08-29 09:42:51.658 UTC
162,2021-08-29 09:42:52.933 UTC
64,2021-08-29 09:42:54.097 UTC
170,2021-08-29 09:43:06.194 UTC
76,2021-08-29 09:43:27.896 UTC
58,2021-08-29 09:44:18.182 UTC
78,2021-08-29 09:44:36.290 UTC
172,2021-08-29 09:44:46.184 UTC
75,2021-08-29 09:44:55.328 UTC
78,2021-08-29 09:44:59.293 UTC
78,2021-08-29 09:45:12.102 UTC
172,2021-08-29 09:45:15.485 UTC
171,2021-08-29 09:45:41.309 UTC
173,2021-08-29 09:45:54.160 UTC
49,2021-08-29 09:45:58.438 UTC
68,2021-08-29 09:46:27.993 UTC
168,2021-08-29 09:47:07.445 UTC
58,2021-08-29 09:47:38.463 UTC
153,2021-08-29 09:47:38.720 UTC
69,2021-08-29 09:48:13.083 UTC
44,2021-08-29 09:48:23.507 UTC
44,2021-08-29 09:48:25.108 UTC
45,2021-08-29 09:48:26.256 UTC
123,2021-08-29 09:49:01.671 UTC
179,2021-08-29 09:49:17.606 UTC
88,2021-08-29 09:49:59.513 UTC
79,2021-08-29 09:50:00.193 UTC
64,2021-08-29 09:50:31.823 UTC
60,2021-08-29 09:50:49.057 UTC
179,2021-08-29 09:50:50.283 UTC
179,2021-08-29 09:50:58.042 UTC
155,2021-08-29 09:50:58.613 UTC
155,2021-08-29 09:51:00.890 UTC
60,2021-08-29 09:51:01.109 UTC
154,2021-08-29 09:51:06.198 UTC
58,2021-08-29 09:51:17.976 UTC
185,2021-08-29 09:51:23.376 UTC
67,2021-08-29 09:51:24.804 UTC
169,2021-08-29 09:51:43.005 UTC
162,2021-08-29 09:51:51.759 UTC
49,2021-08-29 09:51:53.798 UTC
171,2021-08-29 09:52:02.115 UTC
170,2021-08-29 09:52:04.221 UTC
100,2021-08-29 09:52:07.375 UTC
